Player,Team,S/C,Pos,GP,G,A,+/-,PIM,EVG,EVP,PPG,PPP,SHG,SHP,OTG,GWG,S,TOI/GP,FOW%
Travis Zajac,NJD,R,C,69,9,16,-12,28,7,21,1,1,1,3,0,1,72,17:06,52.8
Carl Hagelin,WSH,L,L,58,8,17,12,16,7,22,0,0,1,3,0,2,107,14:19,46.4
Wayne Simmonds,NJD,R,R,68,8,17,-21,66,3,16,5,9,0,0,0,1,119,14:55,39.2
Derek Grant,ANA,L,C,56,15,10,1,30,10,18,2,2,3,5,0,5,94,13:55,51.6
Matt Calvert,COL,L,L,50,12,13,13,39,9,21,0,0,3,4,0,1,89,14:05,46.2
Marcus Foligno,MIN,L,L,59,11,14,8,30,11,25,0,0,0,0,0,0,86,14:35,37.5
Nick Cousins,MTL,L,C,65,10,15,0,35,7,20,3,5,0,0,0,0,115,13:31,48
Travis Sanheim,PHI,L,D,69,8,17,4,32,8,21,0,4,0,0,0,0,110,20:09,--
Lucas Wallmark,CAR,L,C,67,12,13,0,18,9,18,3,6,0,1,0,0,84,12:47,50.3
Lawson Crouse,ARI,L,L,66,15,10,0,33,14,24,0,0,1,1,0,3,109,13:35,51.1
Brandon Tanev,PIT,L,L,68,11,14,-1,16,9,21,0,1,2,3,2,4,95,14:45,40
Jake Gardiner,CAR,L,D,68,4,20,-24,30,3,13,1,11,0,0,1,2,87,16:40,--
Alex Chiasson,EDM,R,R,65,11,13,-3,42,5,11,6,13,0,0,1,3,97,13:07,0
Erik Haula,CAR,L,L,48,12,12,1,22,8,16,4,8,0,0,0,2,92,15:50,54.1
Boone Jenner,CBJ,L,C,70,11,13,-14,36,9,19,2,4,0,1,0,1,179,18:07,55.2
Alex Galchenyuk,PIT,L,C,59,8,16,-5,16,6,17,2,7,0,0,0,0,86,12:18,51.2
Matt Dumba,MIN,R,D,69,6,18,-7,41,5,15,1,8,0,1,1,1,167,22:30,--
Brady Skjei,NYR,L,D,67,8,16,-10,45,8,22,0,0,0,2,0,1,139,20:41,--
Ondrej Kase,ANA,R,R,55,7,17,-7,14,6,21,0,2,1,1,0,0,144,16:33,20.7
Sean Walker,LAK,R,D,70,5,19,-12,26,5,19,0,5,0,0,0,0,127,18:50,--
Pat Maroon,TBL,L,L,64,9,14,4,71,8,20,1,3,0,0,0,1,80,12:25,66.7
Jake Muzzin,TOR,L,D,53,6,17,12,40,6,22,0,0,0,1,0,1,99,21:36,--
Sami Vatanen,NJD,R,D,47,5,18,-12,22,4,12,1,10,0,1,0,0,95,21:45,--
Jeff Skinner,BUF,L,L,59,14,9,-22,18,14,20,0,3,0,0,0,1,183,16:29,37.2
Sean Kuraly,BOS,L,C,69,6,17,-2,34,6,21,0,1,0,1,0,0,95,13:17,48.8
Hampus Lindholm,ANA,L,D,56,2,21,-10,34,1,13,1,8,0,2,0,1,109,22:39,--
Oskar Sundqvist,STL,R,C,57,12,11,5,28,11,21,0,0,1,2,0,1,97,14:23,44.3
Esa Lindell,DAL,L,D,69,3,20,5,12,2,13,1,7,0,3,1,2,98,23:25,--
Miles Wood,NJD,L,L,68,11,12,-19,57,11,23,0,0,0,0,0,1,141,13:14,0
Conor Sheary,BUF,L,L,63,10,13,-5,10,9,20,1,3,0,0,0,1,102,13:06,25
Sonny Milano,CBJ,L,L,55,7,16,-7,26,6,20,1,3,0,0,1,2,75,13:06,--
Ryan Donato,MIN,L,C,62,14,9,5,12,14,21,0,2,0,0,0,1,95,10:38,39.2
Colin White,OTT,R,C,61,7,16,-12,39,6,19,1,4,0,0,0,0,83,15:42,47.4
Vince Dunn,STL,L,D,71,9,14,15,27,5,13,4,10,0,0,0,1,138,16:16,--
Tyson Jost,COL,L,C,67,8,15,11,22,7,18,1,5,0,0,0,0,115,12:46,33.3
Filip Chytil,NYR,L,C,60,14,9,-7,10,13,20,1,3,0,0,0,2,114,14:50,38.5
Blake Lizotte,LAK,L,C,65,6,17,-4,20,2,17,2,3,2,3,0,0,87,13:58,50.2
Kirby Dach,CHI,R,C,64,8,15,-1,24,8,20,0,3,0,0,0,2,101,14:16,33.8
Kaapo Kakko,NYR,L,R,66,10,13,-26,14,8,10,2,13,0,0,1,3,109,14:17,33.3
Ilya Mikheyev,TOR,L,R,39,8,15,7,4,7,22,0,0,1,1,0,1,98,15:35,75
Patrick Marleau,SJS,L,C,66,11,11,-5,14,10,21,1,1,0,0,1,3,117,15:35,47.4
Richard Panik,WSH,L,R,59,9,13,16,36,9,22,0,0,0,0,0,1,67,11:20,57.9
Teddy Blueger,PIT,L,C,69,9,13,2,25,9,20,0,0,0,2,0,2,102,15:49,45.2
Vinnie Hinostroza,ARI,R,C,68,5,17,1,14,5,20,0,1,0,1,0,0,132,13:06,42.6
Alex Wennberg,CBJ,L,C,57,5,17,-5,16,4,17,1,5,0,0,0,1,72,16:41,46
Pierre-Edouard Bellemare,COL,L,L,69,9,13,2,17,7,18,0,0,2,4,0,0,85,13:25,53
Marcus Pettersson,PIT,L,D,69,2,20,9,35,2,20,0,2,0,0,0,0,79,19:24,--
Noah Hanifin,CGY,L,D,70,5,17,-12,12,4,17,1,5,0,0,0,0,132,21:10,--
Rasmus Andersson,CGY,R,D,70,5,17,-7,57,5,18,0,4,0,0,0,0,124,19:56,--
Dominik Simon,PIT,L,C,64,7,15,-9,12,7,21,0,1,0,0,0,0,102,14:25,35.7
Sam Steel,ANA,L,C,65,6,16,-13,20,5,14,1,8,0,0,1,1,85,15:33,50.3
Mikko Koivu,MIN,L,C,55,4,17,2,28,3,13,1,7,0,1,0,0,74,15:34,53.1
Valtteri Filppula,DET,L,C,70,6,15,-42,24,4,15,1,5,1,1,0,0,63,16:37,44.9
Corey Perry,DAL,R,R,57,5,16,-2,70,4,14,1,7,0,0,0,0,77,13:43,40
Tyler Myers,VAN,R,D,68,6,15,-7,49,4,13,1,7,1,1,0,1,134,21:30,--
Nick Leddy,NYI,L,D,60,3,18,-1,14,2,17,1,4,0,0,0,0,72,21:07,--
Ben Chiarot,MTL,L,D,69,9,12,5,61,9,21,0,0,0,0,2,3,130,23:08,--
Josh Archibald,EDM,R,R,62,12,9,-8,12,10,18,0,0,2,3,1,3,64,13:14,0
Matt Nieto,COL,L,L,70,8,13,7,6,6,19,0,0,2,2,0,3,85,13:30,40
Matt Grzelcyk,BOS,L,D,68,4,17,15,34,3,13,1,7,0,1,0,1,112,18:04,--
Andreas Johnsson,TOR,L,L,43,8,13,0,14,4,16,4,5,0,0,0,1,78,15:45,0
Will Butcher,NJD,L,D,56,4,17,-8,6,4,20,0,1,0,0,0,1,62,17:55,--
Mattias Janmark,DAL,L,C,62,6,15,-5,12,4,14,1,5,1,2,0,0,86,14:37,43.5
Jason Dickinson,DAL,L,C,65,9,12,7,6,9,20,0,0,0,1,0,1,85,14:59,43.9
Nick Ritchie,ANA,L,L,48,9,12,1,97,7,18,2,3,0,0,0,2,78,14:09,12.5
Ethan Bear,EDM,R,D,71,5,16,-4,33,4,19,1,2,0,0,0,1,99,21:58,--
Joel Farabee,PHI,L,L,52,8,13,6,39,7,19,1,2,0,0,0,1,81,14:06,30
Jack Hughes,NJD,L,C,61,7,14,-26,10,3,12,4,9,0,0,1,2,123,15:52,36.2
Milan Lucic,CGY,L,L,68,8,12,-6,54,3,12,5,8,0,0,0,1,83,13:20,43.5
Artem Anisimov,OTT,L,C,49,15,5,-15,8,10,14,5,6,0,0,1,1,87,13:51,50
Christopher Tanev,VAN,R,D,69,2,18,4,41,2,18,0,1,0,1,1,1,45,19:32,--
Tyler Pitlick,PHI,R,C,63,8,12,11,12,8,20,0,0,0,0,0,1,76,12:03,27.8
Joel Edmundson,CAR,L,D,68,7,13,7,72,7,20,0,0,0,0,0,0,97,18:27,--
Mike Matheson,FLA,L,D,59,8,12,-1,14,7,18,1,2,0,0,0,1,104,18:02,--
Radek Faksa,DAL,L,C,66,11,9,-6,42,8,17,3,3,0,0,0,3,109,15:53,49.9
Jimmy Vesey,BUF,L,L,64,9,11,12,15,8,18,0,1,1,1,0,2,93,13:48,0
Michael Raffl,PHI,L,L,58,8,12,-2,14,7,18,0,1,1,1,0,2,66,12:22,50.3
Nick Paul,OTT,L,L,56,9,11,0,24,9,19,0,1,0,0,0,2,103,14:27,51.2
Ryan Hartman,MIN,R,R,69,9,11,4,69,8,19,1,1,0,0,0,1,114,12:15,54.6
Emil Bemstrom,CBJ,R,C,56,10,10,-10,8,5,12,5,8,0,0,1,4,97,12:16,30.8
Anton Stralman,FLA,R,D,69,5,14,-6,14,5,18,0,0,0,1,0,3,89,21:04,--
Kyle Okposo,BUF,R,R,52,9,10,-3,28,8,18,1,1,0,0,0,2,82,12:51,53.5
Justin Braun,PHI,R,D,62,3,16,-2,18,3,18,0,1,0,0,0,0,70,17:16,--
TJ Brodie,CGY,L,D,64,4,15,7,36,4,18,0,1,0,0,1,1,65,20:27,--
Josh Leivo,VAN,R,L,36,7,12,0,4,7,14,0,5,0,0,0,0,69,15:01,58.8
Connor Murphy,CHI,R,D,58,5,14,2,27,5,18,0,0,0,1,0,0,117,21:15,--
Brad Hunt,MIN,L,D,59,8,11,-7,6,5,9,3,10,0,0,0,0,106,15:08,--
Zemgus Girgensons,BUF,L,L,69,12,7,-1,10,11,18,0,0,1,1,0,1,85,13:48,41.1
Carter Rowney,ANA,R,C,71,8,11,5,14,6,15,0,0,2,4,0,1,63,12:49,45.6
William Carrier,VGK,L,L,71,7,12,0,39,7,19,0,0,0,0,0,1,99,9:52,64.3
Anders Bjork,BOS,L,L,58,9,10,5,10,8,18,1,1,0,0,0,0,66,12:56,33.3
Brandon Carlo,BOS,R,D,67,4,15,16,33,4,19,0,0,0,0,0,0,111,20:29,--
Brett Howden,NYR,L,C,70,9,10,-11,28,8,15,1,2,0,2,0,2,64,13:09,48.2
P.K. Subban,NJD,R,D,68,7,11,-21,79,5,12,2,6,0,0,0,3,151,22:07,--
Mark Borowiecki,OTT,L,D,53,7,11,1,58,6,17,0,0,1,1,0,0,63,17:56,--
Justin Holl,TOR,R,D,68,2,16,13,43,2,18,0,0,0,0,0,0,89,18:31,--
Johan Larsson,BUF,L,L,62,6,12,8,26,6,18,0,0,0,0,0,0,60,14:54,48.2
Mark Pysyk,FLA,R,D,58,9,9,4,20,9,18,0,0,0,0,0,1,64,12:45,50
Marcus Sorensen,SJS,L,L,66,7,11,-12,26,6,17,0,0,1,1,0,0,78,13:51,15
Cedric Paquette,TBL,L,C,61,7,11,-1,42,6,16,0,0,1,2,0,0,78,13:03,50.9
MacKenzie Weegar,FLA,R,D,45,7,11,6,33,7,18,0,0,0,0,0,1,77,20:07,--
Brett Pesce,CAR,R,D,61,4,14,7,27,4,16,0,0,0,2,0,0,104,21:53,--
Brendan Lemieux,NYR,L,L,59,6,12,-14,111,3,11,2,5,1,2,0,0,86,12:52,36.7
Brandon Montour,BUF,R,D,54,5,13,13,28,5,16,0,2,0,0,0,0,86,19:30,--
Oskar Lindblom,PHI,L,L,30,11,7,4,4,8,14,3,4,0,0,0,0,72,17:37,40.6
Vladislav Gavrikov,CBJ,L,D,69,5,13,1,18,5,18,0,0,0,0,0,1,81,18:59,--
Matt Roy,LAK,R,D,70,4,14,16,10,4,17,0,1,0,0,0,0,112,18:07,--
Michal Kempny,WSH,L,D,58,3,15,19,22,3,18,0,0,0,0,0,0,73,18:38,--
Alexander Steen,STL,L,L,55,7,10,7,12,7,16,0,1,0,0,0,0,71,14:02,53.3
Brandon Sutter,VAN,R,C,44,8,9,1,25,7,14,1,3,0,0,0,0,76,14:51,48.9
Kyle Clifford,LAK,L,L,69,7,10,-7,68,7,17,0,0,0,0,0,0,110,11:11,60
Olli Maatta,CHI,L,D,65,4,13,0,20,4,15,0,0,0,2,0,0,80,18:25,--
Brock McGinn,CAR,L,L,68,7,10,-4,17,5,15,0,0,2,2,0,1,93,13:12,38.5
Madison Bowey,DET,R,D,53,3,14,-16,34,3,16,0,1,0,0,0,0,70,17:54,--
Alex Tuch,VGK,R,R,42,8,9,-10,8,5,10,3,7,0,0,0,2,98,14:37,28.6
Troy Stecher,VAN,R,D,69,5,12,10,32,5,17,0,0,0,0,0,0,86,15:21,--
Blake Comeau,DAL,R,L,55,8,8,-6,36,7,14,0,0,1,2,0,2,74,14:56,43.8
Darren Helm,DET,L,C,68,9,7,-6,37,8,14,0,0,1,2,0,0,102,13:44,53.6
Erik Johnson,COL,R,D,59,3,13,9,20,3,16,0,0,0,0,0,1,99,21:03,--
Colton Sceviour,FLA,R,C,69,6,10,2,6,6,16,0,0,0,0,0,0,114,13:15,43.9
Alec Martinez,LAK,L,D,51,3,13,-4,23,3,12,0,4,0,0,0,0,75,21:30,--
Justin Faulk,STL,R,D,69,5,11,-3,32,4,12,1,3,0,1,0,1,147,20:34,--
Mike Reilly,MTL,L,D,44,1,15,-6,24,0,6,1,9,0,1,0,1,85,18:01,--
Ben Hutton,LAK,L,D,65,4,12,5,14,4,16,0,0,0,0,0,1,114,18:16,--
Tucker Poolman,WPG,R,D,57,4,12,-1,24,3,15,0,0,1,1,0,1,64,17:27,--
Garnet Hathaway,WSH,R,R,66,9,7,6,79,9,15,0,0,0,1,0,1,80,10:47,31
Michael Amadio,LAK,R,C,68,6,10,-11,10,6,13,0,3,0,0,0,0,99,13:01,48.3
Philippe Myers,PHI,R,D,50,4,12,17,30,4,16,0,0,0,0,0,0,78,17:06,--
Dillon Dube,CGY,L,C,45,6,10,0,6,5,14,1,2,0,0,0,2,60,12:41,0
David Kampf,CHI,L,C,70,8,8,-11,8,7,15,0,0,1,1,0,2,90,13:40,52.3
Brian Boyle,FLA,L,C,39,6,9,-5,17,5,14,1,1,0,0,0,1,56,12:23,52.4
Nate Thompson,MTL,L,C,70,4,11,-1,30,4,14,0,0,0,1,0,1,67,12:47,55
Marc-Edouard Vlasic,SJS,L,D,70,5,10,-10,10,4,14,0,0,1,1,0,1,74,20:18,--
Ryan Reaves,VGK,R,R,71,8,7,-5,47,8,15,0,0,0,0,0,1,61,10:09,46.2
Mathieu Perreault,WPG,L,C,49,7,8,-9,10,5,13,2,2,0,0,0,0,71,13:06,68.4
Michael Del Zotto,ANA,L,D,49,2,13,5,14,2,14,0,1,0,0,0,0,57,18:43,--
Cody Eakin,VGK,L,C,49,5,10,-3,16,5,14,0,1,0,0,0,1,61,14:35,48.5
Nic Dowd,WSH,R,C,56,7,8,11,28,4,12,0,0,3,3,0,1,52,10:50,49.7
Radko Gudas,WSH,R,D,63,2,13,15,40,2,15,0,0,0,0,0,1,90,16:44,--
Jordan Weal,MTL,R,C,49,8,7,-8,14,6,10,2,5,0,0,0,2,86,13:37,49.7
Riley Sheahan,EDM,L,C,66,8,7,-13,6,7,13,0,0,1,2,0,1,70,12:48,49
Colton Sissons,NSH,R,C,57,9,6,-2,20,8,14,0,0,1,1,0,2,52,14:20,51.3
Jonathan Drouin,MTL,L,L,27,7,8,-6,14,6,11,1,4,0,0,0,1,51,15:42,33.3
Ryan Carpenter,CHI,R,C,69,3,12,-6,28,2,12,0,0,1,3,0,0,80,14:04,43.1
Tomas Nosek,VGK,L,L,67,8,7,-2,20,7,14,0,0,1,1,0,1,93,11:36,50.1
Nicolas Aube-Kubel,PHI,R,R,36,7,8,1,19,5,12,2,3,0,0,0,1,48,11:17,33.3
Pierre Engvall,TOR,L,L,48,8,7,4,6,7,13,0,0,1,2,0,3,72,11:56,39.1
Troy Terry,ANA,R,R,47,4,11,-5,6,4,13,0,2,0,0,0,0,73,14:31,37.5
Drake Caggiula,CHI,L,C,40,9,6,-3,32,8,13,1,1,0,1,0,0,56,11:49,28.6
Henri Jokiharju,BUF,R,D,69,4,11,-6,32,3,13,1,2,0,0,0,0,78,17:13,--
Filip Zadina,DET,L,R,28,8,7,-13,2,4,8,4,7,0,0,0,1,60,15:10,100
Zdeno Chara,BOS,L,D,68,5,9,26,60,5,14,0,0,0,0,0,2,86,21:01,--
Andrew Cogliano,DAL,L,C,68,3,11,2,30,3,14,0,0,0,0,0,0,68,12:28,46
Andy Greene,NJD,L,D,63,2,12,1,16,2,11,0,1,0,2,0,0,60,19:33,--
Leo Komarov,NYI,L,R,48,4,10,2,10,4,13,0,0,0,1,0,1,46,12:36,39.5
Michael Frolik,CGY,L,R,57,6,8,-12,28,4,11,0,0,2,3,0,1,70,12:26,28.6
Riley Nash,CBJ,R,C,64,5,9,6,10,4,13,0,0,1,1,0,1,64,11:51,47.9
Nick Holden,VGK,L,D,61,6,8,-1,13,5,12,1,1,0,1,0,0,101,18:51,--
Casey Cizikas,NYI,L,C,48,10,4,12,41,7,9,0,0,3,5,0,1,67,14:18,53.5
Brenden Dillon,SJS,L,D,69,1,13,-2,104,1,13,0,0,0,1,0,0,58,19:27,--
Austin Watson,NSH,R,L,53,6,8,-9,65,6,12,0,0,0,2,0,1,50,11:37,50
Nikolai Prokhorkin,LAK,L,L,43,4,10,-6,6,4,11,0,3,0,0,0,1,63,12:06,47.6
Carson Soucy,MIN,L,D,55,7,7,16,18,6,13,0,0,1,1,0,1,61,15:38,--
Haydn Fleury,CAR,L,D,45,4,10,-2,8,4,13,0,0,0,1,0,0,65,13:40,--
Ryan Lindgren,NYR,L,D,60,1,13,16,47,1,14,0,0,0,0,0,0,47,16:34,--
Loui Eriksson,VAN,L,L,49,6,7,-2,12,6,13,0,0,0,0,0,0,59,12:22,100
Sam Gagner,EDM,R,C,42,6,7,-10,12,4,10,2,3,0,0,0,0,79,13:21,44.1
Marco Scandella,BUF,L,D,62,4,9,14,20,4,13,0,0,0,0,0,0,77,17:35,--
Antoine Roussel,VAN,L,L,41,7,6,0,43,6,11,1,2,0,0,0,1,55,11:50,50
Nicolas Deslauriers,ANA,L,L,59,7,6,-1,92,7,13,0,0,0,0,0,1,64,9:47,--
Scott Mayfield,NYI,R,D,67,5,8,8,53,5,11,0,0,0,2,0,1,98,19:57,--
Victor Rask,MIN,L,C,43,5,8,7,6,5,13,0,0,0,0,0,2,38,10:29,44.1
Jordan Martinook,CAR,L,L,45,2,11,-2,22,2,11,0,0,0,2,0,1,44,11:16,51.6
Jake McCabe,BUF,L,D,66,3,10,-11,41,2,12,0,0,1,1,0,1,75,18:32,--
Carter Verhaeghe,TBL,L,C,52,9,4,-9,8,8,12,1,1,0,0,0,1,57,9:22,45.2
Robert Hagg,PHI,L,D,49,3,10,14,30,2,12,1,1,0,0,0,0,38,15:36,--
Nikita Zadorov,COL,L,D,64,4,9,6,65,4,13,0,0,0,0,0,0,65,17:46,--
Jordan Oesterle,ARI,L,D,58,3,10,-9,14,3,11,0,2,0,0,0,0,69,17:01,--
Sam Lafferty,PIT,R,R,50,6,7,5,23,6,13,0,0,0,0,0,1,56,9:37,49.6
Sammy Blais,STL,L,L,40,6,7,-2,20,6,13,0,0,0,0,0,1,56,12:35,--
Zach Aston-Reese,PIT,L,L,57,6,7,6,28,5,12,0,0,1,1,0,0,98,14:25,30.4
Alexandre Texier,CBJ,L,C,36,6,7,3,10,6,12,0,1,0,0,1,1,49,12:45,36.5
Adam Boqvist,CHI,R,D,41,4,9,-3,6,4,11,0,2,0,0,0,1,50,16:13,--
Ron Hainsey,OTT,L,D,64,1,11,10,12,1,9,0,0,0,3,0,1,43,20:41,--
Trevor Lewis,LAK,R,C,56,6,6,-7,16,6,12,0,0,0,0,0,1,92,11:54,38.8
Ryan McDonagh,TBL,L,D,50,1,11,7,19,1,11,0,0,0,1,0,0,50,20:42,--
Justin Schultz,PIT,R,D,46,3,9,-13,6,3,6,0,6,0,0,0,0,86,19:52,--
Travis Hamonic,CGY,R,D,50,3,9,-3,27,3,12,0,0,0,0,0,0,83,21:12,--
Shayne Gostisbehere,PHI,L,D,42,5,7,-4,20,4,7,1,5,0,0,0,1,73,18:18,--
Devin Shore,ANA,L,C,45,5,7,-10,8,5,10,0,2,0,0,0,1,50,11:39,47
Frederik Gauthier,TOR,L,C,61,7,5,-4,10,7,12,0,0,0,0,0,0,42,9:23,54.7
Melker Karlsson,SJS,R,C,61,6,6,-7,20,6,12,0,0,0,0,0,0,56,12:16,45.2
Sam Bennett,CGY,L,C,52,8,4,-1,36,8,11,0,1,0,0,0,0,82,12:31,51.7
Erik Cernak,TBL,R,D,67,5,7,11,59,5,12,0,0,0,0,0,1,125,18:57,--
Denis Malgin,FLA,R,C,44,4,8,-9,14,3,10,1,1,0,1,0,0,50,11:59,39.9
Max Jones,ANA,L,L,59,8,4,-6,36,7,10,0,1,1,1,0,0,102,14:16,40.7
Nikita Zaitsev,OTT,R,D,58,1,11,-8,22,1,12,0,0,0,0,0,0,64,22:09,--
Cody Glass,VGK,R,C,39,5,7,-7,6,4,6,1,6,0,0,0,1,51,13:22,42
Eric Robinson,CBJ,L,L,50,7,5,10,12,7,12,0,0,0,0,0,3,69,10:57,36.4
Justin Williams,CAR,R,R,20,8,3,2,6,6,8,2,3,0,0,0,2,60,13:37,30
Johnny Boychuk,NYI,R,D,64,2,9,-11,14,1,10,1,1,0,0,0,0,96,17:17,--
Brad Richardson,ARI,L,R,59,6,5,1,20,5,9,0,0,1,2,0,3,76,13:39,54
Mike Green,DET,R,D,50,3,8,-34,32,2,7,1,4,0,0,0,1,76,20:53,--
Jack Johnson,PIT,L,D,67,3,8,-1,26,2,10,0,0,1,1,0,0,63,19:28,--
Marc Staal,NYR,L,D,52,2,9,5,16,2,11,0,0,0,0,0,0,46,17:39,--
Michael Grabner,ARI,L,L,46,8,3,-4,6,7,10,0,0,1,1,0,0,61,12:22,0
Jason Demers,ARI,R,D,50,0,11,5,25,0,10,0,0,0,1,0,0,53,20:30,--
Zack Smith,CHI,L,C,50,4,7,2,29,3,9,0,0,1,2,0,1,43,11:47,46.3
David Savard,CBJ,R,D,68,0,11,-3,35,0,9,0,2,0,0,0,0,97,20:41,--
Colin Miller,BUF,R,D,51,1,10,-9,22,1,8,0,3,0,0,1,1,79,17:08,--
Brendan Leipsic,WSH,L,L,61,3,8,3,13,3,10,0,1,0,0,0,1,49,9:10,42.9
Dominic Toninato,FLA,L,C,46,4,7,4,37,4,11,0,0,0,0,0,0,38,11:09,47.1
Travis Dermott,TOR,L,D,56,4,7,14,37,4,11,0,0,0,0,0,1,65,17:19,--
Austin Wagner,LAK,L,L,65,6,5,-5,39,6,11,0,0,0,0,0,0,124,11:45,33.3
Jacob Larsson,ANA,L,D,60,2,9,-9,12,2,11,0,0,0,0,0,0,58,16:09,--
Dante Fabbro,NSH,R,D,64,5,6,-7,38,4,10,1,1,0,0,0,0,92,19:02,--
Victor Mete,MTL,L,D,51,4,7,5,20,4,10,0,1,0,0,0,1,57,16:00,--
Dylan Gambrell,SJS,R,C,50,5,6,-8,17,5,10,0,1,0,0,0,1,43,11:57,46
Nicolas Hague,VGK,L,D,38,1,10,0,32,0,7,1,4,0,0,0,0,54,16:05,--
Mario Ferraro,SJS,L,D,61,2,9,-15,30,2,10,0,0,0,1,0,0,63,15:53,--
Max Comtois,ANA,L,L,29,5,6,-4,24,3,8,2,3,0,0,0,0,32,13:58,18.8
Nathan Gerbe,CBJ,L,C,30,4,6,-7,22,4,10,0,0,0,0,0,0,55,13:45,50
Paul Byron,MTL,L,L,29,4,6,5,4,3,9,0,0,1,1,0,0,29,14:20,16.7
Luca Sbisa,WPG,L,D,44,2,8,1,37,2,10,0,0,0,0,0,0,49,17:56,--
Dmitry Kulikov,WPG,L,D,51,2,8,-4,32,2,10,0,0,0,0,0,1,54,20:01,--
Vladimir Tarasenko,STL,L,R,10,3,7,-2,0,2,7,1,3,0,0,0,0,26,16:11,--
Chris Wagner,BOS,R,R,67,6,4,-8,47,5,9,0,0,1,1,0,0,78,12:26,46.2
Colin Blackwell,NSH,R,C,27,3,7,7,10,3,10,0,0,0,0,0,0,31,10:57,56.1
Travis Boyd,WSH,R,C,24,3,7,9,2,3,9,0,1,0,0,0,0,26,11:45,42
Dylan DeMelo,OTT,R,D,59,0,10,4,37,0,8,0,0,0,2,0,0,74,20:09,--
Tobias Rieder,CGY,L,L,55,4,6,-12,6,3,8,0,0,1,2,0,0,77,11:05,20.8
Andrew Shaw,CHI,R,R,26,3,7,-4,33,2,8,1,2,0,0,0,0,46,14:27,45.2
Adam Lowry,WPG,L,C,49,4,6,-4,23,3,8,0,0,1,2,0,1,68,14:58,53.8
Jamie Oleksiak,DAL,L,D,69,3,7,-6,41,3,10,0,0,0,0,0,1,76,15:49,--
Slater Koekkoek,CHI,L,D,42,1,9,3,42,1,10,0,0,0,0,0,1,47,16:45,--
Mackenzie MacEachern,STL,L,L,51,7,3,2,33,7,10,0,0,0,0,0,2,63,8:57,25
Jujhar Khaira,EDM,L,L,64,6,4,-19,38,6,10,0,0,0,0,0,1,69,12:32,51.5
Curtis Lazar,BUF,R,C,38,5,5,-3,9,5,9,0,0,0,1,0,0,33,11:50,51.3
Michael Dal Colle,NYI,L,L,53,4,6,-8,12,4,10,0,0,0,0,0,0,59,11:48,71.4
Jayce Hawryluk,FLA,R,C,26,3,7,1,16,3,10,0,0,0,0,0,0,26,11:06,33.3
Nicolas Roy,VGK,R,C,28,5,5,3,8,4,9,1,1,0,0,0,1,42,11:26,48.2
Evan Rodrigues,BUF,R,C,45,6,4,-8,14,5,9,1,1,0,0,0,1,75,11:17,46.7
Kevin Stenlund,CBJ,R,C,32,6,4,2,8,3,5,3,5,0,0,0,1,57,13:59,40.3
Trevor Moore,TOR,L,C,42,6,4,-4,6,6,9,0,0,0,1,0,0,60,12:54,28.6
Drake Batherson,OTT,R,R,23,3,7,-12,13,2,4,1,6,0,0,0,0,32,15:34,57.1
Gaetan Haas,EDM,R,C,58,5,5,-1,6,5,9,0,1,0,0,0,0,54,9:42,42.2
Frans Nielsen,DET,L,C,60,4,5,-13,8,3,5,0,2,1,2,0,0,86,13:41,46.1
Jay Bouwmeester,STL,L,D,56,1,8,6,20,1,8,0,0,0,1,0,0,53,21:34,--
Kris Russell,EDM,L,D,55,0,9,0,14,0,8,0,0,0,1,0,0,45,16:47,--
Brayden McNabb,VGK,L,D,71,2,7,1,40,1,8,0,0,1,1,0,0,73,20:01,--
Greg McKegg,NYR,L,C,53,5,4,-2,17,4,7,0,0,1,2,0,0,40,9:34,49.3
Patrik Nemeth,DET,L,D,64,1,8,-10,28,1,8,0,0,0,1,0,1,89,22:02,--
Erik Gudbranson,PIT,R,D,51,4,5,0,95,4,8,0,0,0,1,0,0,78,19:22,--
Taylor Fedun,DAL,R,D,27,2,7,3,8,2,9,0,0,0,0,0,0,40,13:45,--
Josh Manson,ANA,R,D,50,1,8,-10,37,1,8,0,0,0,1,0,0,64,20:38,--
Stefan Noesen,PIT,R,R,40,7,2,-1,32,6,8,1,1,0,0,0,2,67,11:32,38.9
Luke Glendening,DET,R,C,60,6,3,-29,14,5,8,0,0,1,1,0,1,76,15:21,56.1
Ryan Murray,CBJ,L,D,27,2,7,-9,4,2,7,0,2,0,0,0,0,32,19:57,--
Adam Pelech,NYI,L,D,38,1,8,4,20,1,7,0,0,0,2,0,0,49,21:08,--
Jacob de la Rose,DET,L,L,50,2,7,2,10,2,9,0,0,0,0,0,0,46,10:43,43.1
Jonas Siegenthaler,WSH,L,D,64,2,7,11,43,2,9,0,0,0,0,0,1,49,15:44,--
Christian Fischer,ARI,R,R,56,6,3,2,16,6,9,0,0,0,0,0,1,83,11:01,27.3
Caleb Jones,EDM,L,D,43,4,5,-1,10,4,8,0,1,0,0,0,1,38,14:08,--
Dmytro Timashov,TOR,L,L,44,4,5,1,16,4,9,0,0,0,0,0,1,37,8:32,--
Markus Nutivaara,CBJ,L,D,37,3,6,2,4,3,8,0,1,0,0,0,0,47,15:55,--
Kevin Rooney,NJD,L,C,49,4,5,8,20,2,6,0,0,2,3,0,0,59,11:44,47
