Player,Team,S/C,Pos,GP,G,A,+/-,PIM,EVG,EVP,PPG,PPP,SHG,SHP,OTG,GWG,S,TOI/GP,FOW%
Tanner Pearson,VAN,L,L,69,21,24,-4,27,16,32,3,10,2,3,0,3,164,16:31,17.7
Andre Burakovsky,COL,L,L,58,20,25,11,22,18,34,2,11,0,0,1,6,103,15:12,35.7
Nick Schmaltz,ARI,R,C,70,11,34,3,20,9,32,2,13,0,0,0,2,95,15:32,42.6
Brock Boeser,VAN,R,R,57,16,29,4,14,11,31,5,14,0,0,0,3,169,18:34,36.7
Alex DeBrincat,CHI,R,L,70,18,27,-10,15,8,29,10,16,0,0,1,4,207,17:30,35
Neal Pionk,WPG,R,D,71,6,39,10,32,3,20,3,25,0,0,0,1,177,23:23,--
Kris Letang,PIT,R,D,61,15,29,0,38,9,29,6,15,0,0,0,2,177,25:44:00,--
Tyler Toffoli,LAK,R,R,68,24,20,-1,20,19,34,5,10,0,0,1,4,203,16:51,28.6
Gabriel Landeskog,COL,L,L,54,21,23,-2,47,15,29,6,15,0,0,0,4,145,20:02,56.4
Tom Wilson,WSH,R,R,68,21,23,-3,93,15,35,5,7,1,2,1,5,154,18:16,31.6
Nikita Gusev,NJD,R,L,66,13,31,-15,12,8,29,5,15,0,0,0,2,158,14:42,33.3
Max Domi,MTL,L,C,71,17,27,-3,35,16,33,1,11,0,0,2,3,179,17:06,48.9
Anthony Cirelli,TBL,L,C,68,16,28,28,30,14,37,1,5,1,2,1,3,113,18:27,47.5
Clayton Keller,ARI,L,R,70,17,27,-6,28,15,29,2,15,0,0,0,2,184,16:18,38.1
Brady Tkachuk,OTT,L,L,71,21,23,-14,106,19,36,2,8,0,0,1,3,259,18:56,46.2
David Krejci,BOS,R,C,61,13,30,14,23,10,29,3,14,0,0,1,3,83,17:10,50.3
Josh Bailey,NYI,L,R,68,14,29,-12,10,11,33,2,9,1,1,0,2,94,16:54,50
Adam Henrique,ANA,L,C,71,26,17,-2,22,21,34,5,9,0,0,0,1,169,16:52,55.1
Anders Lee,NYI,L,L,68,20,23,8,47,18,36,2,7,0,0,1,6,195,18:18,45.2
Brendan Gallagher,MTL,R,R,59,22,21,9,29,21,38,1,5,0,0,0,1,226,16:55,41.4
Connor Brown,OTT,R,R,71,16,27,-6,24,13,37,3,4,0,2,0,1,173,20:07,42.7
Jake Guentzel,PIT,L,L,39,20,23,11,14,14,33,6,10,0,0,1,4,127,20:38,47.8
Alex Iafallo,LAK,L,L,70,17,26,1,14,11,34,6,9,0,0,2,3,142,18:56,47.8
Ryan Getzlaf,ANA,R,C,69,13,29,-16,58,10,33,3,9,0,0,1,5,143,18:44,51.3
Gustav Nyquist,CBJ,L,C,70,15,27,4,16,11,32,3,9,1,1,1,3,151,18:02,51.5
Matt Duchene,NSH,L,C,66,13,29,-4,24,8,31,5,11,0,0,0,1,136,16:53,56.1
Jean-Gabriel Pageau,OTT,R,C,67,26,16,4,49,18,26,5,10,3,6,1,5,151,19:09,53.5
Rickard Rakell,ANA,R,L,65,15,27,-5,12,12,30,3,9,0,3,1,2,186,18:10,76.9
Victor Olofsson,BUF,L,L,54,20,22,-1,6,9,25,11,17,0,0,1,4,127,18:23,50
Adam Fox,NYR,R,D,70,8,34,22,32,7,29,1,13,0,0,0,4,125,18:54,--
Robert Thomas,STL,R,C,66,10,32,9,18,9,35,1,7,0,0,0,2,87,14:34,42.9
Jason Zucker,MIN,L,L,60,20,21,-4,21,13,29,7,12,0,0,0,4,111,16:20,29.3
Kevin Hayes,PHI,L,C,69,23,18,-6,34,15,30,4,7,4,4,2,5,175,17:44,50.2
Ondrej Palat,TBL,L,L,69,17,24,25,22,12,32,4,8,1,1,0,2,128,16:11,33.3
Aaron Ekblad,FLA,R,D,67,5,36,12,26,5,34,0,6,0,1,1,1,147,22:59,--
Mikko Rantanen,COL,L,R,42,19,22,-2,14,11,27,8,14,0,0,0,5,107,18:57,58.7
Zach Werenski,CBJ,L,D,63,20,21,9,10,14,27,5,13,1,1,2,4,187,23:59,--
Nick Suzuki,MTL,R,C,71,13,28,-15,6,7,27,6,14,0,0,0,1,138,15:59,46.3
Jeff Petry,MTL,R,D,71,11,29,-10,26,7,27,3,12,1,1,2,3,158,23:39,--
James van Riemsdyk,PHI,L,L,66,19,21,5,8,15,31,4,9,0,0,0,2,151,14:54,34.8
Erik Karlsson,SJS,R,D,56,6,34,-15,16,4,26,1,13,1,1,0,0,120,24:31:00,--
Jordan Eberle,NYI,R,R,58,16,24,1,12,12,29,4,11,0,0,0,1,136,17:49,33.3
Dougie Hamilton,CAR,R,D,47,14,26,30,32,12,27,2,12,0,1,2,3,170,23:17,--
Anthony Duclair,OTT,L,L,66,23,17,-5,18,16,30,5,8,2,2,2,2,184,16:16,50
Rasmus Dahlin,BUF,L,D,59,4,36,-7,38,2,21,2,19,0,0,0,1,90,19:18,--
Jamie Benn,DAL,L,L,69,19,20,-4,53,11,25,8,14,0,0,2,4,163,16:26,55.8
Logan Couture,SJS,L,C,52,16,23,0,18,16,28,0,9,0,2,3,3,126,18:32,44
Lars Eller,WSH,L,C,69,16,23,3,48,13,31,2,6,1,2,1,1,151,17:01,51.9
Jakob Silfverberg,ANA,R,R,66,21,18,0,14,15,30,4,7,2,2,0,1,155,17:41,19.5
Tyson Barrie,TOR,R,D,70,5,34,-7,16,4,27,1,12,0,0,0,0,169,21:53,--
Anthony Beauvillier,NYI,L,L,68,18,21,-11,15,14,31,3,7,1,1,2,3,132,17:16,69.2
Thomas Chabot,OTT,L,D,71,6,33,-18,42,6,28,0,11,0,0,0,0,186,26:00:00,--
Conor Garland,ARI,R,R,68,22,17,1,20,18,29,4,10,0,0,0,5,158,14:09,36.4
Paul Stastny,VGK,L,C,71,17,21,6,24,12,27,5,10,0,1,1,3,136,17:08,54.8
Phil Kessel,ARI,R,R,70,14,24,-21,22,5,21,9,17,0,0,0,2,153,17:09,22.2
Ryan Ellis,NSH,R,D,49,8,30,16,19,6,29,2,9,0,0,2,3,114,23:30,--
Vincent Trocheck,FLA,R,C,62,11,27,-8,49,9,30,1,7,1,1,1,2,141,16:44,52.2
Anthony Mantha,DET,L,R,43,16,22,-7,34,10,29,6,9,0,0,0,3,137,18:54,42.1
Christian Dvorak,ARI,L,L,70,18,20,6,12,12,28,6,10,0,0,1,2,134,16:42,55.1
Dylan Strome,CHI,L,C,58,12,26,1,16,10,30,2,8,0,0,0,2,97,15:56,47.7
Tyler Ennis,OTT,L,R,70,16,21,-6,20,11,27,5,10,0,0,0,1,159,14:43,46.7
